Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-02-26,SOXL,半导体3倍做多ETF,Index ETF,97787900,Strong,Short,38.2%,XGB:0.52|LGB:0.46|LR:0.51|N:342|Base:0.33,Doji (十字星),62.26,78.93,65.34,5.66,76.66,44,2874
2026-02-26,MU,美光科技,Stock,35433500,Strong,Short,37.4%,XGB:0.55|LGB:0.46|LR:0.54|N:342|Base:0.32,"Doji (十字星), Doji (十字星)",62.1,76.32,415.56,24.36,464.28,10,4155
2026-02-25,GOOGL,谷歌,Stock,29963600,Strong,Short,40.0%,XGB:0.71|LGB:0.62|LR:0.47|N:341|Base:0.30,Doji (十字星),81.22,14.94,312.9,8.87,330.64,28,8761
2026-02-25,MU,美光科技,Stock,27296300,Strong + Div,Short,35.6%,XGB:0.48|LGB:0.41|LR:0.50|N:341|Base:0.31,"Doji (十字星), Doji (十字星)",80.5,82.23,429.0,23.77,476.54,10,4290
2026-02-25,NVDA,英伟达,Stock,250637102,Strong,Short,34.1%,XGB:0.14|LGB:0.14|LR:0.56|N:341|Base:0.32,Doji (十字星),97.04,94.27,195.56,5.88,207.32,42,8213
2026-02-24,COIN,Coinbase,Stock,10442900,Strong,Short,40.9%,XGB:0.44|LGB:0.36|LR:0.71|N:340|Base:0.34,Shooting Star (射击之星),75.23,22.46,162.03,12.15,186.33,20,3240
2026-02-24,MU,美光科技,Stock,33389200,Strong,Short,33.8%,XGB:0.38|LGB:0.34|LR:0.53|N:340|Base:0.31,Doji (十字星),74.11,77.4,418.01,24.15,466.31,10,4180
2026-02-24,NVDA,英伟达,Stock,175123602,Strong,Short,36.7%,XGB:0.50|LGB:0.47|LR:0.44|N:340|Base:0.32,"Doji (十字星), Doji (十字星)",95.58,94.88,192.85,5.96,204.77,41,7906
2026-02-24,HOOD,罗宾汉,Stock,23571800,Strong,Long,33.3%,XGB:0.21|LGB:0.27|LR:0.30|N:340|Base:0.37,Piercing Line (刺透形态),31.42,2.53,73.39,5.6,62.19,44,3229
2026-02-24,PLTR,帕兰提尔,Stock,47121400,Strong + Div,Long,35.7%,XGB:0.29|LGB:0.34|LR:0.46|N:340|Base:0.36,"Hammer (锤子线), Doji (十字星)",23.49,-6.05,128.84,7.73,113.38,32,4122
2026-02-24,TSLA,特斯拉,Stock,58579500,Strong,Long,34.9%,XGB:0.27|LGB:0.38|LR:0.39|N:340|Base:0.35,Bullish Engulfing (看涨吞没),21.44,14.99,409.38,14.85,379.68,16,6550
2026-02-23,COIN,Coinbase,Stock,12685500,Strong,Short,36.6%,XGB:0.24|LGB:0.18|LR:0.60|N:339|Base:0.33,Shooting Star (射击之星),83.45,21.34,160.24,12.35,184.94,20,3204
2026-02-23,MU,美光科技,Stock,25426600,Strong,Short,39.4%,XGB:0.67|LGB:0.53|LR:0.50|N:339|Base:0.32,Doji (十字星),88.73,78.7,420.97,24.08,469.13,10,4209
2026-02-23,NVDA,英伟达,Stock,171584839,Strong + Div,Short,38.2%,XGB:0.57|LGB:0.53|LR:0.43|N:339|Base:0.32,Doji (十字星),84.93,90.57,191.55,5.93,203.41,42,8045
2026-02-23,AAPL,苹果,Stock,37308155,Strong,Long,37.4%,XGB:0.29|LGB:0.19|LR:0.59|N:339|Base:0.34,"Doji (十字星), Bullish Engulfing (看涨吞没)",32.61,64.68,266.18,6.48,253.22,38,10114
2026-02-23,AMD,超威半导体,Stock,28187909,Strong + Div,Long,34.3%,XGB:0.27|LGB:0.25|LR:0.55|N:339|Base:0.35,"Doji (十字星), Doji (十字星)",11.7,-1.22,196.6,11.19,174.22,22,4325
2026-02-20,SOXL,半导体3倍做多ETF,Index ETF,81017900,Strong,Short,36.5%,XGB:0.45|LGB:0.45|LR:0.42|N:338|Base:0.33,Shooting Star (射击之星),70.21,82.16,67.11,5.63,78.37,44,2952
2026-02-20,AAPL,苹果,Stock,42070499,Strong,Long,36.7%,XGB:0.25|LGB:0.19|LR:0.57|N:338|Base:0.34,"Doji (十字星), Bullish Engulfing (看涨吞没)",20.28,57.71,264.58,6.51,251.56,38,10054
2026-02-20,HOOD,罗宾汉,Stock,30283900,Strong,Long,38.6%,XGB:0.53|LGB:0.35|LR:0.38|N:338|Base:0.37,Inverted Hammer (倒锤子线),32.92,3.48,76.11,5.75,64.61,43,3272
2026-02-20,MSFT,微软,Stock,34015200,Strong,Long,26.9%,XGB:0.13|LGB:0.11|LR:0.02|N:338|Base:0.34,"Doji (十字星), Doji (十字星), Doji (十字星), Doji (十字星)",13.67,2.21,397.23,10.98,375.27,22,8739
2026-02-19,SOXL,半导体3倍做多ETF,Index ETF,68827500,Strong,Short,35.2%,XGB:0.41|LGB:0.38|LR:0.42|N:337|Base:0.33,"Bearish Engulfing (看跌吞没), Hanging Man (吊颈线), Shooting Star (射击之星)",72.11,77.28,65.23,5.7,76.63,43,2804
2026-02-19,MU,美光科技,Stock,21651300,Strong,Short,39.7%,XGB:0.61|LGB:0.64|LR:0.46|N:337|Base:0.31,Shooting Star (射击之星),79.07,75.85,417.35,25.39,468.13,9,3756
2026-02-19,AMD,超威半导体,Stock,25842274,Strong,Long,36.2%,XGB:0.28|LGB:0.37|LR:0.59|N:337|Base:0.36,Doji (十字星),36.19,12.1,203.37,12.0,179.37,20,4067
2026-02-19,GOOGL,谷歌,Stock,25834400,Strong,Long,30.3%,XGB:0.04|LGB:0.04|LR:0.24|N:337|Base:0.40,"Doji (十字星), Doji (十字星), Doji (十字星)",10.71,-0.22,302.85,9.11,284.63,27,8176
