Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-08-19,NO_SIGNAL,无信号,Info,0,No Signal,无信号,N/A,N/A,无信号,,,,,,,
2026-08-18,PLTR,帕兰提尔,Stock,27979382,Strong,Short,39.8%,XGB:0.57|LGB:0.35|LR:0.63|N:342|Base:0.36,Doji (十字星),69.76,107.76,171.54,7.8,187.14,32,5489
2026-08-17,QQQ,纳斯达克100指数ETF,Index ETF,26102182,Strong,Short,23.1%,XGB:0.22|LGB:0.10|LR:0.34|N:341|Base:0.25,"Doji (十字星), Doji (十字星)",88.93,86.26,729.87,12.1,754.07,20,14597
2026-08-17,CRWV,,Stock,31890805,Strong,Short,30.9%,XGB:0.23|LGB:0.32|LR:0.37|N:314|Base:0.32,"Shooting Star (射击之星), Hanging Man (吊颈线)",62.99,86.8,106.0,8.55,123.1,29,3074
2026-08-17,NVDA,英伟达,Stock,81442206,Strong,Short,31.9%,XGB:0.10|LGB:0.11|LR:0.57|N:341|Base:0.29,"Doji (十字星), Doji (十字星), Doji (十字星)",83.28,109.81,225.01,6.63,238.27,37,8325
2026-08-14,IWM,罗素2000指数ETF,Index ETF,12842876,Strong + Div,Short,24.1%,XGB:0.16|LGB:0.23|LR:0.34|N:338|Base:0.25,Doji (十字星),103.69,93.81,305.09,3.78,312.65,66,20135
2026-08-14,SPY,标普500指数ETF,Index ETF,29940248,Strong,Short,11.8%,XGB:0.01|LGB:0.01|LR:0.27|N:340|Base:0.14,"Doji (十字星), Doji (十字星)",91.21,94.81,776.34,7.49,791.32,33,25619
2026-08-14,NVDA,英伟达,Stock,75161211,Strong,Short,31.2%,XGB:0.13|LGB:0.10|LR:0.52|N:340|Base:0.29,"Doji (十字星), Doji (十字星)",96.21,101.68,225.16,6.9,238.96,36,8105
2026-08-13,IWM,罗素2000指数ETF,Index ETF,13989886,Strong + Div,Short,20.4%,XGB:0.04|LGB:0.06|LR:0.31|N:337|Base:0.25,Doji (十字星),97.79,87.21,303.5,3.88,311.26,64,19424
2026-08-13,SPY,标普500指数ETF,Index ETF,30258928,Strong + Div,Short,12.0%,XGB:0.02|LGB:0.01|LR:0.28|N:339|Base:0.14,Doji (十字星),98.77,97.09,777.88,7.81,793.5,32,24892
2026-08-13,AVGO,,Stock,13133946,Strong,Short,36.7%,XGB:0.49|LGB:0.44|LR:0.48|N:339|Base:0.32,"Doji (十字星), Doji (十字星)",72.78,91.35,417.82,15.62,449.06,16,6685
2026-08-13,NVDA,英伟达,Stock,93629467,Strong + Div,Short,27.1%,XGB:0.15|LGB:0.17|LR:0.44|N:339|Base:0.29,Doji (十字星),101.38,102.48,225.3,7.2,239.7,34,7660
2026-08-12,IWM,罗素2000指数ETF,Index ETF,15404372,Strong + Div,Short,20.1%,XGB:0.03|LGB:0.03|LR:0.30|N:336|Base:0.25,Doji (十字星),101.47,90.77,302.71,4.0,310.71,62,18768
2026-08-12,SPY,标普500指数ETF,Index ETF,32771433,Strong,Short,12.1%,XGB:0.02|LGB:0.04|LR:0.24|N:338|Base:0.14,"Doji (十字星), Doji (十字星), Doji (十字星), Doji (十字星)",95.26,92.52,772.49,7.88,788.25,31,23947
2026-08-12,AVGO,,Stock,14256945,Strong,Short,36.4%,XGB:0.37|LGB:0.52|LR:0.51|N:338|Base:0.33,"Doji (十字星), Doji (十字星)",74.0,89.55,416.05,15.78,447.61,15,6240
2026-08-12,HOOD,罗宾汉,Stock,12521042,Strong + Div,Short,48.4%,XGB:0.90|LGB:0.88|LR:0.70|N:338|Base:0.33,"Doji (十字星), Doji (十字星)",104.22,17.05,94.91,5.27,105.45,47,4460
2026-08-12,META,元宇宙(Facebook),Stock,15847495,Strong,Short,38.5%,XGB:0.41|LGB:0.45|LR:0.33|N:338|Base:0.38,"Doji (十字星), Doji (十字星), Bearish Engulfing (看跌吞没)",74.95,32.13,578.85,22.72,624.29,11,6367
2026-08-12,MSFT,微软,Stock,27275247,Strong,Short,24.7%,XGB:0.05|LGB:0.08|LR:0.13|N:338|Base:0.32,"Doji (十字星), Doji (十字星)",75.13,106.16,492.43,14.76,521.95,16,7878
