Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-04-27,MSFT,微软,Stock,30769467,Strong,Short,27.2%,XGB:0.15|LGB:0.08|LR:0.17|N:340|Base:0.34,Doji (十字星),75.76,111.55,424.82,10.45,445.72,23,9770
2026-04-27,HOOD,罗宾汉,Stock,19864225,Strong,Long,40.0%,XGB:0.53|LGB:0.53|LR:0.44|N:340|Base:0.35,Doji (十字星),21.72,90.65,83.95,4.54,74.87,55,4617
2026-04-24,IWM,罗素2000指数ETF,Index ETF,20786577,Strong,Short,31.8%,XGB:0.54|LGB:0.42|LR:0.17|N:337|Base:0.33,"Bearish Engulfing (看跌吞没), Doji (十字星), Doji (十字星), Doji (十字星)",72.68,105.91,276.65,4.95,286.55,50,13832
2026-04-24,SPY,标普500指数ETF,Index ETF,44463821,Strong + Div,Short,20.2%,XGB:0.15|LGB:0.33|LR:0.08|N:339|Base:0.20,Doji (十字星),95.0,114.01,713.94,8.65,731.24,28,19990
2026-04-24,AAPL,苹果,Stock,38033227,Strong,Short,32.4%,XGB:0.33|LGB:0.20|LR:0.55|N:339|Base:0.32,"Doji (十字星), Doji (十字星)",78.26,90.9,271.06,5.88,282.82,42,11384
2026-04-24,AVGO,,Stock,22381353,Strong + Div,Short,27.7%,XGB:0.09|LGB:0.12|LR:0.36|N:339|Base:0.33,"Doji (十字星), Doji (十字星)",86.31,114.16,422.76,12.77,448.3,19,8032
2026-04-24,MU,美光科技,Stock,35248923,Strong + Div,Short,33.6%,XGB:0.31|LGB:0.42|LR:0.47|N:339|Base:0.32,Doji (十字星),87.55,95.92,496.72,25.94,548.6,9,4470
2026-04-23,IWM,罗素2000指数ETF,Index ETF,32549966,Strong,Short,27.5%,XGB:0.09|LGB:0.20|LR:0.16|N:336|Base:0.33,"Doji (十字星), Bearish Engulfing (看跌吞没), Doji (十字星), Doji (十字星)",75.74,103.69,275.52,5.03,285.58,49,13500
2026-04-23,QQQ,纳斯达克100指数ETF,Index ETF,39178683,Strong,Short,24.5%,XGB:0.15|LGB:0.24|LR:0.11|N:338|Base:0.28,"Doji (十字星), Doji (十字星)",91.19,115.97,651.42,10.15,671.72,24,15634
2026-04-23,SPY,标普500指数ETF,Index ETF,52293495,Strong,Short,15.1%,XGB:0.02|LGB:0.02|LR:0.07|N:338|Base:0.20,"Doji (十字星), Doji (十字星), Doji (十字星), Doji (十字星)",88.77,110.82,708.45,8.85,726.15,28,19836
2026-04-23,AAPL,苹果,Stock,33138070,Strong + Div,Short,31.1%,XGB:0.16|LGB:0.29|LR:0.48|N:338|Base:0.33,Doji (十字星),86.85,96.92,273.43,6.04,285.51,41,11210
2026-04-23,AMZN,亚马逊,Stock,31032997,Strong,Short,40.1%,XGB:0.18|LGB:0.46|LR:0.62|N:338|Base:0.36,Doji (十字星),85.63,112.46,255.08,6.42,267.92,38,9693
2026-04-23,AVGO,,Stock,19377814,Strong,Short,28.8%,XGB:0.11|LGB:0.18|LR:0.40|N:338|Base:0.33,Doji (十字星),88.43,112.59,419.94,12.51,444.96,19,7978
2026-04-23,COIN,Coinbase,Stock,8656710,Strong,Short,30.3%,XGB:0.11|LGB:0.15|LR:0.38|N:338|Base:0.36,"Doji (十字星), Shooting Star (射击之星)",71.9,83.05,197.93,12.47,222.87,20,3958
2026-04-23,CRWV,,Stock,21495415,Strong,Short,27.9%,XGB:0.13|LGB:0.09|LR:0.28|N:235|Base:0.32,Hanging Man (吊颈线),70.62,105.37,117.42,7.6,132.62,32,3757
