Date,Ticker,Open,High,Low,Close,Volume,Source
2025-01-02,AAPL,248.93,249.1,241.8201,243.85,55740731.0,polygon
2025-01-02,AMD,122.29,123.14,119.44,120.63,34256182.0,polygon
2025-01-02,AMZN,222.03,225.15,218.19,220.22,33956579.0,polygon
2025-01-02,COIN,256.48,262.31,251.0,257.21,6289520.0,polygon
2025-01-02,GOOGL,190.65,192.0,187.5,189.43,20370828.0,polygon
2025-01-02,HOOD,38.54,39.7,37.35,39.44,18993324.0,polygon
2025-01-02,IWM,222.93,224.37,219.596,221.14,29362959.0,polygon
2025-01-02,META,589.72,604.91,587.82,599.24,12682269.0,polygon
2025-01-02,MSFT,425.53,426.07,414.85,418.58,16896469.0,polygon
2025-01-02,MU,84.98,87.65,84.74,87.33,18859957.0,polygon
2025-01-02,NVDA,136.0,138.88,134.63,138.31,198247166.0,polygon
2025-01-02,PLTR,76.2,76.53,72.42,75.19,72217192.0,polygon
2025-01-02,QQQ,514.3,516.64,505.71,510.23,36389783.0,polygon
2025-01-02,SOXL,28.13,29.0482,27.035,27.67,80996342.0,polygon
2025-01-02,SPY,589.39,591.13,580.5,584.64,50203975.0,polygon
2025-01-02,TSLA,390.1,392.7299,373.04,379.28,109710749.0,polygon
2025-01-03,AAPL,243.36,244.18,241.89,243.36,40244114.0,polygon
2025-01-03,AMD,121.65,125.56,121.42,125.37,36785299.0,polygon
2025-01-03,AMZN,222.505,225.36,221.62,224.19,27515606.0,polygon
2025-01-03,COIN,259.89,271.59,258.59,270.65,5990830.0,polygon
2025-01-03,GOOGL,191.37,193.21,189.975,191.79,18596159.0,polygon
2025-01-03,HOOD,39.78,41.38,39.0243,41.35,19978820.0,polygon
2025-01-03,IWM,222.07,224.82,221.38,224.43,24525330.0,polygon
2025-01-03,META,604.76,609.5,596.4136,604.63,11436784.0,polygon
2025-01-03,MSFT,421.08,424.03,419.54,423.35,16662943.0,polygon
2025-01-03,MU,87.95,90.195,87.51,89.87,17484588.0,polygon
2025-01-03,NVDA,140.01,144.9,139.73,144.47,229322478.0,polygon
2025-01-03,PLTR,75.39,79.98,75.19,79.89,62415008.0,polygon
2025-01-03,QQQ,513.35,519.6454,512.53,518.58,29059520.0,polygon
2025-01-03,SOXL,28.32,30.118,28.16,29.82,72119602.0,polygon
2025-01-03,SPY,587.53,592.6,586.43,591.95,37888459.0,polygon
2025-01-03,TSLA,381.48,411.8799,379.45,410.44,95423329.0,polygon
2025-01-06,AAPL,244.31,247.33,243.2,245.0,45045571.0,polygon
2025-01-06,AMD,129.07,130.73,127.36,129.55,48020190.0,polygon
2025-01-06,AMZN,226.78,228.835,224.84,227.61,31849831.0,polygon
2025-01-06,COIN,279.07,293.6,271.75,287.76,10834985.0,polygon
2025-01-06,GOOGL,193.98,198.2222,193.85,196.87,29563638.0,polygon
2025-01-06,HOOD,42.11,43.12,41.46,42.71,22219294.0,polygon
2025-01-06,IWM,225.76,227.17,224.14,224.52,23541877.0,polygon
2025-01-06,META,611.825,630.99,605.62,630.2,14560754.0,polygon
2025-01-06,MSFT,428.0,434.32,425.4774,427.85,20573648.0,polygon
2025-01-06,MU,95.565,101.52,95.48,99.26,42903278.0,polygon
2025-01-06,NVDA,148.59,152.156,147.8201,149.43,265377359.0,polygon
2025-01-06,PLTR,78.69,80.06,74.61,75.92,105619544.0,polygon
2025-01-06,QQQ,524.02,527.92,522.03,524.54,36109734.0,polygon
2025-01-06,SOXL,31.81,33.63,31.81,32.49,95159507.0,polygon
2025-01-06,SPY,596.27,599.7,593.6,595.36,47679442.0,polygon
2025-01-06,TSLA,423.2,426.43,401.7,411.05,85516534.0,polygon
2025-01-07,AAPL,242.98,245.55,241.35,242.21,40855960.0,polygon
2025-01-07,AMD,130.51,131.71,126.8537,127.33,39220408.0,polygon
2025-01-07,AMZN,227.9,228.381,221.46,222.11,28084164.0,polygon
2025-01-07,COIN,286.74,287.58,260.24,264.33,11614723.0,polygon
2025-01-07,GOOGL,197.11,201.0,194.6,195.49,26487244.0,polygon
2025-01-07,HOOD,42.33,43.1876,39.865,40.56,17649192.0,polygon
2025-01-07,IWM,225.58,226.515,221.38,222.72,28835228.0,polygon
2025-01-07,META,631.7,632.1011,608.23,617.89,12071479.0,polygon
2025-01-07,MSFT,429.0,430.65,420.8,422.37,18139065.0,polygon
2025-01-07,MU,103.41,106.7399,101.16,101.91,53570014.0,polygon
2025-01-07,NVDA,153.03,153.13,140.01,140.14,351782174.0,polygon
2025-01-07,PLTR,75.2,75.39,69.75,69.99,91727347.0,polygon
2025-01-07,QQQ,525.59,525.99,513.28,515.18,36690272.0,polygon
2025-01-07,SOXL,33.57,33.73,30.6,31.15,79205733.0,polygon
2025-01-07,SPY,597.42,597.75,586.78,588.63,60393052.0,polygon
2025-01-07,TSLA,405.83,414.33,390.0,394.36,75699525.0,polygon
2025-01-08,AAPL,241.92,243.7123,240.05,242.7,37628940.0,polygon
2025-01-08,AMD,124.51,125.3,120.1201,121.84,46723136.0,polygon
2025-01-08,AMZN,223.185,223.52,220.2,222.13,25033292.0,polygon
2025-01-08,COIN,263.88,267.0,252.99,260.01,5951138.0,polygon
2025-01-08,GOOGL,192.57,196.29,192.38,193.95,24864766.0,polygon
2025-01-08,HOOD,40.255,40.8299,39.21,40.81,14022227.0,polygon
2025-01-08,IWM,220.9,222.31,219.0121,221.71,26795947.0,polygon
2025-01-08,META,613.395,616.4397,602.79,610.72,10085846.0,polygon
2025-01-08,MSFT,423.46,426.97,421.54,424.56,15054575.0,polygon
2025-01-08,MU,102.82,103.475,98.3,99.41,33516888.0,polygon
2025-01-08,NVDA,142.58,143.95,137.56,140.11,227349948.0,polygon
2025-01-08,PLTR,68.12,69.53,66.51,68.23,91349513.0,polygon
2025-01-08,QQQ,515.08,516.9199,510.57,515.27,30777777.0,polygon
2025-01-08,SOXL,30.8,31.01,29.1754,30.18,69523496.0,polygon
2025-01-08,SPY,588.7,590.5799,585.195,589.49,47304672.0,polygon
2025-01-08,TSLA,392.95,402.4999,387.4,394.94,73038805.0,polygon
2025-01-10,AAPL,240.01,240.16,233.0,236.85,61710856.0,polygon
2025-01-10,AMD,118.18,118.71,114.4501,116.04,59415614.0,polygon
2025-01-10,AMZN,221.46,221.71,216.5,218.94,36811525.0,polygon
2025-01-10,COIN,257.77,261.8699,248.05,258.78,5579228.0,polygon
2025-01-10,GOOGL,194.295,196.52,190.31,192.04,26665206.0,polygon
2025-01-10,HOOD,40.07,40.53,38.78,40.08,13972851.0,polygon
2025-01-10,IWM,218.31,218.71,215.31,216.83,37379430.0,polygon
2025-01-10,META,610.03,629.91,597.34,615.86,19256564.0,polygon
2025-01-10,MSFT,424.63,424.71,415.02,418.95,20201132.0,polygon
2025-01-10,MU,98.115,100.78,96.87,99.34,20512560.0,polygon
2025-01-10,NVDA,137.45,139.92,134.22,135.91,207602514.0,polygon
2025-01-10,PLTR,66.01,68.2,65.04,67.26,78148636.0,polygon
2025-01-10,QQQ,511.48,511.58,503.92,507.19,40532495.0,polygon
2025-01-10,SOXL,29.06,29.09,27.44,28.06,85395014.0,polygon
2025-01-10,SPY,585.88,585.95,578.55,580.49,73105046.0,polygon
2025-01-10,TSLA,391.4,399.28,377.29,394.74,62287333.0,polygon
2025-01-13,AAPL,233.53,234.67,229.72,234.4,49630725.0,polygon
2025-01-13,AMD,115.28,117.48,114.41,117.32,39128897.0,polygon
2025-01-13,AMZN,218.06,219.4,216.47,218.46,27262655.0,polygon
2025-01-13,COIN,246.98,251.81,240.77,251.2,7019454.0,polygon
2025-01-13,GOOGL,190.07,191.18,187.36,191.01,21823699.0,polygon
2025-01-13,HOOD,39.01,39.7971,38.42,39.59,13763124.0,polygon
