Date,Ticker,Open,High,Low,Close,Volume,Source
2024-08-27,AAPL,225.995,228.85,224.89,228.03,35934559.0,polygon
2024-08-27,AMD,150.13,151.7,148.44,150.5,35102650.0,polygon
2024-08-27,AMZN,174.15,174.89,172.25,173.12,29841979.0,polygon
2024-08-27,COIN,201.84,202.5,194.1,198.3,5992876.0,polygon
2024-08-27,GOOGL,165.835,166.4426,164.46,164.68,11821941.0,polygon
2024-08-27,HOOD,20.8,21.54,20.59,21.36,8052553.0,polygon
2024-08-27,IWM,218.91,219.37,217.71,218.74,19577861.0,polygon
2024-08-27,META,518.98,524.01,515.31,519.1,6282720.0,polygon
2024-08-27,MSFT,412.86,414.36,410.25,413.84,13492911.0,polygon
2024-08-27,MU,97.09,98.49,96.668,97.86,17234616.0,polygon
2024-08-27,NVDA,125.05,129.2,123.88,128.3,303134573.0,polygon
2024-08-27,PLTR,30.55,31.12,30.38,30.84,23541256.0,polygon
2024-08-27,QQQ,473.69,477.84,471.71,476.76,27510003.0,polygon
2024-08-27,SOXL,36.51,38.9699,35.52,38.49,74033311.0,polygon
2024-08-27,SPY,559.49,562.06,558.32,561.56,32693898.0,polygon
2024-08-27,TSLA,213.25,215.66,206.94,209.21,62821390.0,polygon
2024-08-28,AAPL,227.92,229.86,225.68,226.49,38052167.0,polygon
2024-08-28,AMD,149.4,150.43,144.72,146.36,34075823.0,polygon
2024-08-28,AMZN,173.69,173.69,168.92,170.8,29045025.0,polygon
2024-08-28,COIN,195.02,197.49,187.73,190.2,4995742.0,polygon
2024-08-28,GOOGL,165.035,165.6,161.5284,162.85,16407444.0,polygon
2024-08-28,HOOD,21.15,21.1993,20.0,20.32,10959698.0,polygon
2024-08-28,IWM,217.87,219.115,216.27,217.26,19685018.0,polygon
2024-08-28,META,517.675,521.085,512.45,516.78,9106077.0,polygon
2024-08-28,MSFT,414.88,415.0,407.31,410.6,14882660.0,polygon
2024-08-28,MU,97.36,97.6847,92.7,94.86,25564297.0,polygon
2024-08-28,NVDA,128.12,128.33,122.64,125.61,448101115.0,polygon
2024-08-28,PLTR,30.62,30.8,29.75,30.36,33961370.0,polygon
2024-08-28,QQQ,476.29,477.02,467.89,471.35,37372436.0,polygon
2024-08-28,SOXL,38.09,38.86,35.2905,36.6,101998473.0,polygon
2024-08-28,SPY,561.21,561.65,555.04,558.3,41066024.0,polygon
2024-08-28,TSLA,209.72,211.84,202.59,205.75,64116350.0,polygon
2024-08-29,AAPL,230.1,232.92,228.88,229.79,51906297.0,polygon
2024-08-29,AMD,146.59,149.49,144.47,145.49,31602113.0,polygon
2024-08-29,AMZN,173.22,174.29,170.81,172.12,26407815.0,polygon
2024-08-29,COIN,194.0,196.5,187.6001,188.28,3841810.0,polygon
2024-08-29,GOOGL,164.31,165.97,160.25,161.78,19699767.0,polygon
2024-08-29,HOOD,20.4,20.655,20.09,20.17,7621530.0,polygon
2024-08-29,IWM,218.78,220.98,217.15,218.81,24599500.0,polygon
2024-08-29,META,519.05,527.2,515.6789,518.22,8317424.0,polygon
2024-08-29,MSFT,414.94,422.05,410.6,413.12,17045241.0,polygon
2024-08-29,MU,96.56,97.98,94.99,95.57,18984288.0,polygon
2024-08-29,NVDA,121.355,124.43,116.71,117.59,453023305.0,polygon
2024-08-29,PLTR,30.65,31.82,30.484,31.0,39732985.0,polygon
2024-08-29,QQQ,473.28,477.93,469.372,470.66,41081465.0,polygon
2024-08-29,SOXL,37.06,38.93,35.625,36.19,97333238.0,polygon
2024-08-29,SPY,560.31,563.68,557.18,558.35,38715176.0,polygon
2024-08-29,TSLA,209.8,214.89,205.97,206.28,62308818.0,polygon
2024-08-30,AAPL,230.19,230.4,227.48,229.0,52990770.0,polygon
2024-08-30,AMD,147.52,148.99,145.25,148.56,31169069.0,polygon
2024-08-30,AMZN,172.78,178.9,172.6,178.5,43429355.0,polygon
2024-08-30,COIN,189.215,189.94,180.04,183.36,7307184.0,polygon
2024-08-30,GOOGL,162.615,163.66,161.6925,163.38,22123811.0,polygon
2024-08-30,HOOD,20.38,20.4,19.835,20.12,11026191.0,polygon
2024-08-30,IWM,219.71,220.5,217.4,220.08,23010461.0,polygon
2024-08-30,META,521.35,523.54,515.2,521.31,9157541.0,polygon
2024-08-30,MSFT,415.6,417.49,412.13,417.14,24308324.0,polygon
2024-08-30,MU,96.92,98.4129,94.99,96.24,18819367.0,polygon
2024-08-30,NVDA,119.53,121.75,117.22,119.37,333751583.0,polygon
2024-08-30,PLTR,31.05,31.5,30.7,31.48,42388023.0,polygon
2024-08-30,QQQ,475.04,476.9,470.51,476.27,33466473.0,polygon
2024-08-30,SOXL,38.68,39.22,37.06,38.79,85280835.0,polygon
2024-08-30,SPY,560.77,564.2,557.14,563.68,62700110.0,polygon
2024-08-30,TSLA,208.63,214.5701,207.03,214.11,63370608.0,polygon
2024-09-03,AAPL,228.55,229.0,221.17,222.77,50190574.0,polygon
2024-09-03,AMD,146.41,146.49,136.1,136.94,42172672.0,polygon
2024-09-03,AMZN,177.55,178.26,175.26,176.25,37817511.0,polygon
2024-09-03,COIN,182.0,182.7,168.07,169.13,9746643.0,polygon
2024-09-03,GOOGL,161.72,161.85,156.48,157.36,38945301.0,polygon
2024-09-03,HOOD,19.755,19.965,19.21,19.37,11353453.0,polygon
2024-09-03,IWM,218.13,219.37,212.91,213.35,31338459.0,polygon
2024-09-03,META,519.64,525.49,508.6176,511.76,12459113.0,polygon
2024-09-03,MSFT,417.91,419.88,407.03,409.44,20313603.0,polygon
2024-09-03,MU,93.63,93.8799,88.31,88.58,28897236.0,polygon
2024-09-03,NVDA,116.01,116.21,107.29,108.0,477155100.0,polygon
2024-09-03,PLTR,31.35,31.5892,30.165,30.51,34531596.0,polygon
2024-09-03,QQQ,473.2,473.33,459.4101,461.81,44985219.0,polygon
2024-09-03,SOXL,36.8,36.8091,29.4,30.07,140077858.0,polygon
2024-09-03,SPY,560.47,560.81,549.51,552.08,60600113.0,polygon
2024-09-03,TSLA,215.26,219.9043,209.64,210.6,76714222.0,polygon
2024-09-04,AAPL,221.66,221.78,217.48,220.85,43840196.0,polygon
2024-09-04,AMD,140.505,143.37,138.51,140.87,42130648.0,polygon
2024-09-04,AMZN,174.48,175.98,172.54,173.33,30309225.0,polygon
2024-09-04,COIN,166.5,169.04,160.67,163.22,7826441.0,polygon
2024-09-04,GOOGL,156.655,159.0,155.9616,156.45,19353759.0,polygon
2024-09-04,HOOD,19.01,19.61,18.8108,19.11,9923300.0,polygon
2024-09-04,IWM,212.76,215.37,211.7,212.99,23706257.0,polygon
2024-09-04,META,506.07,516.59,504.07,512.74,8335207.0,polygon
2024-09-04,MSFT,405.91,411.24,404.37,408.9,15135806.0,polygon
2024-09-04,MU,88.36,90.73,87.81,89.29,16356537.0,polygon
2024-09-04,NVDA,105.41,113.27,104.12,106.21,372470291.0,polygon
2024-09-04,PLTR,30.0,30.85,29.31,30.59,33419490.0,polygon
2024-09-04,QQQ,458.67,464.45,457.73,460.61,32505102.0,polygon
2024-09-04,SOXL,29.07,31.69,28.73,30.3,108759945.0,polygon
2024-09-04,SPY,550.2,554.43,549.46,550.95,47224939.0,polygon
2024-09-04,TSLA,210.59,222.22,210.57,219.41,80651767.0,polygon
2024-09-05,AAPL,221.625,225.48,221.52,222.38,36615398.0,polygon
2024-09-05,AMD,138.2,141.71,137.83,139.44,25023021.0,polygon
2024-09-05,AMZN,175.0,179.875,174.995,177.89,40170526.0,polygon
2024-09-05,COIN,161.62,166.37,158.12,159.7,5732706.0,polygon
2024-09-05,GOOGL,156.3,159.45,155.9805,157.24,18688747.0,polygon
2024-09-05,HOOD,19.0,19.68,18.84,19.67,11493534.0,polygon
2024-09-05,IWM,213.54,214.03,210.92,211.93,23910476.0,polygon
2024-09-05,META,511.72,521.6295,511.15,516.86,8640888.0,polygon
2024-09-05,MSFT,407.62,413.1,406.13,408.39,14195516.0,polygon
2024-09-05,MU,88.1,90.7,87.76,89.39,13890660.0,polygon
2024-09-05,NVDA,104.985,109.65,104.76,107.21,306850696.0,polygon
2024-09-05,PLTR,30.24,30.74,30.01,30.16,24012331.0,polygon
2024-09-05,QQQ,458.97,465.36,457.939,461.04,34452385.0,polygon
2024-09-05,SOXL,29.05,31.2002,28.83,29.75,100075882.0,polygon
2024-09-05,SPY,550.89,553.7995,547.1,549.61,44264258.0,polygon
2024-09-05,TSLA,223.49,235.0,222.25,230.17,119355013.0,polygon
2024-09-06,AAPL,223.95,225.24,219.77,220.82,48423011.0,polygon
2024-09-06,AMD,138.7,139.13,132.1101,134.35,39993507.0,polygon
2024-09-06,AMZN,177.24,178.38,171.16,171.39,41466537.0,polygon
2024-09-06,AVGO,143.25,143.5,136.6,136.995,76634630.0,polygon
2024-09-06,COIN,163.24,164.15,146.12,147.35,11026602.0,polygon
2024-09-06,GOOGL,157.3,157.83,150.55,150.92,37912130.0,polygon
2024-09-06,HOOD,19.74,20.2399,18.71,18.94,12834240.0,polygon
2024-09-06,IWM,211.93,213.19,207.14,207.9,34561311.0,polygon
2024-09-06,META,521.88,524.5849,498.25,500.27,14744521.0,polygon
2024-09-06,MSFT,409.06,410.65,400.8,401.7,19609526.0,polygon
2024-09-06,MU,89.37,89.65,85.26,86.38,23587097.0,polygon
2024-09-06,NVDA,108.04,108.15,100.95,102.83,413638098.0,polygon
2024-09-06,PLTR,30.6,31.04,29.5,30.33,50946777.0,polygon
2024-09-06,QQQ,460.33,461.22,448.19,448.69,50624385.0,polygon
2024-09-06,SOXL,29.11,29.17,25.5,25.96,156147578.0,polygon
2024-09-06,SPY,549.94,551.6,539.44,540.36,68493805.0,polygon
2024-09-06,TSLA,232.6,233.6,210.51,210.73,112177004.0,polygon
2024-09-09,AAPL,220.82,221.27,216.71,220.91,67179965.0,polygon
2024-09-09,AMD,136.1,138.445,134.86,138.15,27194508.0,polygon
2024-09-09,AMZN,174.53,175.85,173.51,175.4,29037362.0,polygon
2024-09-09,AVGO,139.11,141.585,134.9,140.82,39516691.0,polygon
2024-09-09,COIN,151.27,157.4,150.06,155.05,9256668.0,polygon
2024-09-09,GOOGL,152.51,153.4,147.215,148.71,39260451.0,polygon
2024-09-09,HOOD,19.21,19.83,19.04,19.66,10350580.0,polygon
2024-09-09,IWM,208.15,210.255,207.52,208.48,23584104.0,polygon
2024-09-09,META,506.16,511.33,502.08,504.79,11047828.0,polygon
2024-09-09,MSFT,407.24,408.65,402.15,405.72,15295134.0,polygon
2024-09-09,MU,87.85,87.96,85.01,86.27,20526393.0,polygon
2024-09-09,NVDA,104.88,106.55,103.69,106.47,273912015.0,polygon
2024-09-09,PLTR,32.7,34.7,32.47,34.6,140582494.0,polygon
2024-09-09,QQQ,453.06,455.46,449.8234,454.46,32981169.0,polygon
2024-09-09,SOXL,27.18,27.7291,26.15,27.43,84474535.0,polygon
2024-09-09,SPY,544.65,547.71,542.68,546.41,40445822.0,polygon
2024-09-09,TSLA,216.2,219.87,213.67,216.27,67443518.0,polygon
2024-09-10,AAPL,218.92,221.48,216.73,220.11,51591033.0,polygon
2024-09-10,AMD,139.06,143.08,137.25,142.84,37217528.0,polygon
2024-09-10,AMZN,177.49,180.5,176.79,179.55,36233796.0,polygon
2024-09-10,AVGO,141.22,149.86,141.04,148.21,36067473.0,polygon
2024-09-10,COIN,155.01,159.14,149.51,158.46,5824762.0,polygon
2024-09-10,GOOGL,150.45,151.27,148.34,148.66,31118765.0,polygon
2024-09-10,HOOD,19.6,19.739,18.825,19.7,10336504.0,polygon
2024-09-10,IWM,208.72,208.86,205.791,208.31,23025689.0,polygon
2024-09-10,META,508.16,514.18,500.0278,504.79,9899022.0,polygon
2024-09-10,MSFT,408.2,416.33,407.7,414.2,19594287.0,polygon
2024-09-10,MU,86.97,87.19,84.87,86.85,17019016.0,polygon
2024-09-10,NVDA,107.81,109.4,104.95,108.1,268283736.0,polygon
2024-09-10,PLTR,34.81,35.2,33.71,34.76,91720986.0,polygon
2024-09-10,QQQ,456.24,459.17,452.23,458.66,29680319.0,polygon
2024-09-10,SOXL,27.54,28.39,26.24,28.35,81557456.0,polygon
2024-09-10,SPY,548.36,549.15,543.38,548.79,36394579.0,polygon
2024-09-10,TSLA,220.07,226.4,218.6377,226.17,78891136.0,polygon
2024-09-11,AAPL,221.455,223.09,217.89,222.66,44587072.0,polygon
2024-09-11,AMD,145.325,150.16,140.71,149.86,50935390.0,polygon
2024-09-11,AMZN,180.095,184.99,175.73,184.52,42564698.0,polygon
2024-09-11,AVGO,148.39,158.87,145.04,158.27,39700766.0,polygon
2024-09-11,COIN,153.56,158.84,149.95,157.15,6417381.0,polygon
2024-09-11,GOOGL,149.92,151.5,147.52,151.16,29607693.0,polygon
2024-09-11,HOOD,19.58,20.795,19.54,20.64,12396201.0,polygon
2024-09-11,IWM,207.47,209.25,204.21,208.92,27175635.0,polygon
2024-09-11,META,507.01,513.12,495.6,511.83,10782532.0,polygon
2024-09-11,MSFT,415.5,423.99,409.58,423.04,19266923.0,polygon
2024-09-11,MU,88.2,90.83,86.08,90.65,20879599.0,polygon
2024-09-11,NVDA,109.39,117.19,107.42,116.91,441422370.0,polygon
2024-09-11,PLTR,34.01,34.87,33.62,34.85,68302252.0,polygon
2024-09-11,QQQ,459.91,469.37,451.28,468.62,57842992.0,polygon
2024-09-11,SOXL,28.89,32.42,27.08,32.22,143140937.0,polygon
2024-09-11,SPY,548.7,555.36,539.96,554.42,75248608.0,polygon
2024-09-11,TSLA,224.55,228.47,216.8003,228.13,83548633.0,polygon
2024-09-12,AAPL,222.5,223.55,219.82,222.77,37498225.0,polygon
2024-09-12,AMD,148.43,151.54,147.65,150.77,29286166.0,polygon
2024-09-12,AMZN,184.8,187.41,183.54,187.0,33622483.0,polygon
2024-09-12,AVGO,158.1,166.32,156.83,164.56,43581917.0,polygon
2024-09-12,COIN,158.61,165.43,156.1,162.89,6697238.0,polygon
2024-09-12,GOOGL,153.8,154.82,152.65,154.69,29695048.0,polygon
2024-09-12,HOOD,20.83,21.735,20.67,21.64,13536081.0,polygon
2024-09-12,IWM,209.91,212.78,208.41,211.61,27658533.0,polygon
2024-09-12,META,517.05,526.71,515.22,525.6,11993342.0,polygon
2024-09-12,MSFT,423.31,427.3692,419.75,427.0,17418759.0,polygon
2024-09-12,MU,87.1,88.03,84.12,87.21,30982533.0,polygon
2024-09-12,NVDA,116.84,120.79,115.38,119.14,367100496.0,polygon
2024-09-12,PLTR,34.86,35.4,34.5308,34.91,54391843.0,polygon
2024-09-12,QQQ,468.65,474.04,466.8491,473.22,40175456.0,polygon
2024-09-12,SOXL,31.75,32.69,30.35,31.81,99273289.0,polygon
2024-09-12,SPY,555.01,559.4,552.74,559.09,51892735.0,polygon
2024-09-12,TSLA,224.66,231.45,223.83,229.81,72020042.0,polygon
2024-09-13,AAPL,223.58,224.04,221.91,222.5,36766619.0,polygon
2024-09-13,AMD,152.32,153.03,150.7,152.31,25117241.0,polygon
2024-09-13,AMZN,187.0,188.5,185.91,186.49,26495351.0,polygon
2024-09-13,AVGO,166.735,168.08,164.0401,167.69,29850048.0,polygon
2024-09-13,COIN,162.24,168.93,161.58,163.05,5953642.0,polygon
2024-09-13,GOOGL,155.43,158.38,155.21,157.46,29591152.0,polygon
2024-09-13,HOOD,21.695,22.43,21.61,22.07,11931614.0,polygon
2024-09-13,IWM,214.03,217.25,213.94,216.83,37388104.0,polygon
2024-09-13,META,520.34,527.581,517.11,524.62,10321422.0,polygon
2024-09-13,MSFT,425.825,431.83,425.46,430.59,15874555.0,polygon
2024-09-13,MU,88.09,91.47,87.87,91.22,21267222.0,polygon
2024-09-13,NVDA,119.08,119.955,117.6,119.1,238358328.0,polygon
2024-09-13,PLTR,34.97,36.01,34.89,35.59,49727172.0,polygon
2024-09-13,QQQ,472.48,476.53,472.25,475.34,29111849.0,polygon
2024-09-13,SOXL,32.52,33.72,32.36,33.43,78147292.0,polygon
2024-09-13,SPY,559.71,563.03,559.45,562.01,39310501.0,polygon
2024-09-13,TSLA,228.0,232.67,226.32,230.29,59515114.0,polygon
