Date,Ticker,Open,High,Low,Close,Volume,Source
2026-01-02,AAPL,272.255,277.84,269.0,271.01,37838054.0,polygon
2026-01-02,AMD,218.9,227.15,218.895,223.47,36446169.0,polygon
2026-01-02,AMZN,231.34,235.458,224.7,226.5,51456229.0,polygon
2026-01-02,AVGO,352.7799987792969,360.6600036621094,345.5599975585937,347.6199951171875,25398600.0,yahoo
2026-01-02,COIN,230.595,238.49,225.91,236.53,8760200.0,polygon
2026-01-02,CRCL,80.83999633789062,84.58000183105469,79.62000274658203,83.47000122070312,8382500.0,yahoo
2026-01-02,CRWV,73.93000030517578,81.16999816894531,73.16000366210938,79.31999969482422,30050000.0,yahoo
2026-01-02,GOOGL,316.9,322.5,310.33,315.15,32009385.0,polygon
2026-01-02,HOOD,115.478,116.03,110.41,115.21,25793456.0,polygon
2026-01-02,IWM,247.63,249.09,245.86,248.78,40007650.0,polygon
2026-01-02,META,662.725,664.39,643.5,650.41,13726517.0,polygon
2026-01-02,MSFT,484.385,484.66,470.16,472.94,25571567.0,polygon
2026-01-02,MU,295.125,315.6,294.86,315.42,42604280.0,polygon
2026-01-02,NVDA,189.835,192.9299,188.26,188.85,148240462.0,polygon
2026-01-02,PLTR,181.3,181.35,166.35,167.86,60634068.0,polygon
2026-01-02,QQQ,620.06,622.85,610.15,613.12,61859163.0,polygon
2026-01-02,SOXL,45.13,48.09,45.08,47.24,132719716.0,polygon
2026-01-02,SPY,685.71,686.87,679.82,683.17,89377203.0,polygon
2026-01-02,TSLA,457.8,458.34,435.3,438.07,85535406.0,polygon
2026-01-05,AAPL,270.64,271.51,266.14,267.26,45647190.0,polygon
2026-01-05,AMD,230.245,234.02,220.48,221.08,31941147.0,polygon
2026-01-05,AMZN,228.84,234.0,227.18,233.06,49733348.0,polygon
2026-01-05,AVGO,354.739990234375,355.0299987792969,336.5,343.4200134277344,31136000.0,yahoo
2026-01-05,COIN,247.105,258.88,246.53,254.92,13695272.0,polygon
2026-01-05,CRCL,84.57499694824219,88.05999755859375,84.0999984741211,84.80000305175781,9112400.0,yahoo
2026-01-05,CRWV,82.9000015258789,84.54000091552734,76.7699966430664,76.86000061035156,27206500.0,yahoo
2026-01-05,GOOGL,317.655,319.015,314.63,316.54,30195597.0,polygon
2026-01-05,HOOD,117.92,123.4199,117.55,123.24,26231024.0,polygon
2026-01-05,IWM,249.79,253.55,249.57,252.73,37428056.0,polygon
2026-01-05,META,651.01,664.54,647.7512,658.79,12213745.0,polygon
2026-01-05,MSFT,474.055,476.07,469.5,472.85,25250260.0,polygon
2026-01-05,MU,325.13,325.53,309.55,312.15,34608591.0,polygon
2026-01-05,NVDA,191.76,193.63,186.15,188.12,183529733.0,polygon
2026-01-05,PLTR,174.88,175.82,171.79,174.04,39511693.0,polygon
2026-01-05,QQQ,619.32,620.81,616.72,617.99,46828359.0,polygon
2026-01-05,SOXL,50.345,51.22,48.63,49.22,94987531.0,polygon
2026-01-05,SPY,686.54,689.43,686.375,687.72,71927191.0,polygon
2026-01-05,TSLA,447.99,457.5499,444.57,451.67,67940839.0,polygon
2026-01-06,AAPL,267.0,267.55,262.12,262.36,52352090.0,polygon
2026-01-06,AMD,222.71,222.92,211.25,214.35,40033208.0,polygon
2026-01-06,AMZN,232.1,243.18,232.07,240.93,53764677.0,polygon
2026-01-06,AVGO,343.6000061035156,349.04998779296875,338.0,343.7699890136719,27135500.0,yahoo
2026-01-06,COIN,255.21,258.35,245.72,250.56,8672516.0,polygon
2026-01-06,CRCL,86.0,86.19999694824219,81.947998046875,84.8499984741211,7456700.0,yahoo
2026-01-06,CRWV,78.6500015258789,78.83999633789062,73.75,77.94000244140625,25473300.0,yahoo
2026-01-06,GOOGL,316.4,320.94,311.78,314.34,31212101.0,polygon
2026-01-06,HOOD,124.16,124.35,118.0498,121.7,20349847.0,polygon
2026-01-06,IWM,252.24,256.25,251.52,256.08,40677781.0,polygon
2026-01-06,META,659.57,665.52,651.9,660.62,11074419.0,polygon
2026-01-06,MSFT,473.8,478.7367,469.75,478.51,23037665.0,polygon
2026-01-06,MU,318.28,344.55,318.06,343.43,48732420.0,polygon
2026-01-06,NVDA,190.52,192.174,186.82,187.24,176862604.0,polygon
2026-01-06,PLTR,175.76,180.19,174.7701,179.71,34838611.0,polygon
2026-01-06,QQQ,619.23,624.0213,618.54,623.42,43137520.0,polygon
2026-01-06,SOXL,51.105,54.3,51.07,54.01,92678645.0,polygon
2026-01-06,SPY,687.93,692.315,687.78,691.81,69273827.0,polygon
2026-01-06,TSLA,446.38,448.25,428.78,432.96,89093758.0,polygon
2026-01-07,AAPL,263.2,263.68,259.81,260.33,48309804.0,polygon
2026-01-07,AMD,212.125,212.125,207.17,210.02,29715483.0,polygon
2026-01-07,AMZN,239.61,245.29,239.52,241.56,42236531.0,polygon
2026-01-07,AVGO,341.70001220703125,349.70001220703125,335.8800048828125,343.5,20249300.0,yahoo
2026-01-07,COIN,248.28,248.9399,240.25,245.93,7488912.0,polygon
2026-01-07,CRCL,83.19000244140625,83.5999984741211,80.52999877929688,80.58999633789062,6610400.0,yahoo
2026-01-07,CRWV,77.13999938964844,79.94000244140625,75.75,77.18000030517578,14413400.0,yahoo
2026-01-07,GOOGL,314.36,326.15,314.19,321.98,35104425.0,polygon
2026-01-07,HOOD,120.05,120.1,116.5501,116.97,18916838.0,polygon
2026-01-07,IWM,256.4,256.795,253.97,255.48,33052026.0,polygon
2026-01-07,META,655.64,659.15,644.81,648.69,12846273.0,polygon
2026-01-07,MSFT,479.755,489.7,477.95,483.47,25564196.0,polygon
2026-01-07,MU,340.71,346.3,337.1801,339.55,32781099.0,polygon
2026-01-07,NVDA,188.57,191.37,186.56,189.11,153543174.0,polygon
2026-01-07,PLTR,179.8,187.28,177.66,181.68,45349012.0,polygon
2026-01-07,QQQ,623.04,627.94,622.56,624.02,44880339.0,polygon
2026-01-07,SOXL,52.2,52.74,50.84,52.29,65698487.0,polygon
2026-01-07,SPY,692.19,693.96,689.32,689.58,75588337.0,polygon
2026-01-07,TSLA,435.9,438.37,431.29,431.41,59828790.0,polygon
2026-01-08,AAPL,257.02,259.29,255.7,259.04,50419337.0,polygon
2026-01-08,AMD,210.9,210.94,203.33,204.68,27505031.0,polygon
2026-01-08,AMZN,243.06,246.41,241.88,246.29,39509844.0,polygon
2026-01-08,AVGO,342.7799987792969,343.67999267578125,330.5,332.4800109863281,24385200.0,yahoo
2026-01-08,COIN,244.615,250.38,242.25,245.59,6897249.0,polygon
2026-01-08,CRCL,79.9000015258789,82.72000122070312,78.8499984741211,81.79000091552734,5375000.0,yahoo
2026-01-08,CRWV,77.57499694824219,79.93000030517578,75.91000366210938,77.08999633789062,20472200.0,yahoo
2026-01-08,GOOGL,328.965,330.3196,321.5,325.44,31896101.0,polygon
2026-01-08,HOOD,115.75,117.32,113.87,115.39,20102352.0,polygon
2026-01-08,IWM,254.7,258.93,254.36,258.27,37957029.0,polygon
2026-01-08,META,645.88,647.102,635.72,646.06,11921708.0,polygon
2026-01-08,MSFT,481.24,482.66,475.86,478.11,18162616.0,polygon
2026-01-08,MU,342.9,343.66,321.36,327.02,33897720.0,polygon
2026-01-08,NVDA,189.11,189.55,183.71,185.04,172457048.0,polygon
2026-01-08,PLTR,185.615,185.66,174.37,176.86,47304286.0,polygon
2026-01-08,QQQ,623.03,623.42,617.8,620.47,50435941.0,polygon
2026-01-08,SOXL,51.798,51.809,48.13,49.65,79844752.0,polygon
2026-01-08,SPY,688.82,690.615,687.49,689.51,64019200.0,polygon
2026-01-08,TSLA,427.89,436.89,424.365,435.8,57041094.0,polygon
2026-01-09,AAPL,259.075,260.21,256.22,259.37,39996967.0,polygon
2026-01-09,AMD,205.72,207.3,203.07,203.17,24217339.0,polygon
2026-01-09,AMZN,244.568,247.86,242.24,247.38,34559961.0,polygon
2026-01-09,AVGO,337.9200134277344,347.3900146484375,333.5,344.9700012207031,22482500.0,yahoo
2026-01-09,COIN,246.07,246.9,237.15,240.78,8104541.0,polygon
2026-01-09,CRCL,82.19999694824219,84.33000183105469,79.44999694824219,82.9000015258789,7686400.0,yahoo
2026-01-09,CRWV,78.31999969482422,81.5,75.51000213623047,80.13999938964844,26303200.0,yahoo
2026-01-09,GOOGL,327.09,330.83,325.8,328.57,26214166.0,polygon
2026-01-09,HOOD,116.975,118.23,114.882,115.27,18094807.0,polygon
2026-01-09,IWM,259.58,261.56,258.09,260.23,36301546.0,polygon
2026-01-09,META,645.435,654.95,642.85,653.06,11634944.0,polygon
2026-01-09,MSFT,474.06,479.82,472.2001,479.28,18491036.0,polygon
2026-01-09,MU,332.745,345.8,326.19,345.09,33387505.0,polygon
2026-01-09,NVDA,185.08,186.34,183.6701,184.86,131327534.0,polygon
2026-01-09,PLTR,177.02,178.72,174.75,177.49,31362890.0,polygon
2026-01-09,QQQ,621.41,627.89,619.06,626.65,49688734.0,polygon
2026-01-09,SOXL,51.085,54.76,50.31,53.95,87214366.0,polygon
2026-01-09,SPY,690.63,695.31,689.18,694.07,80125467.0,polygon
2026-01-09,TSLA,435.945,449.05,430.39,445.01,67331456.0,polygon
2026-01-12,AAPL,259.16,261.3,256.8,260.25,45263767.0,polygon
2026-01-12,AMD,201.18,209.88,199.8,207.69,27287274.0,polygon
2026-01-12,AMZN,246.73,248.94,245.96,246.47,35867770.0,polygon
2026-01-12,AVGO,340.95001220703125,353.8999938964844,340.95001220703125,352.2099914550781,20949600.0,yahoo
2026-01-12,COIN,239.63,248.0,238.04,242.98,5957250.0,polygon
2026-01-12,CRCL,81.13999938964844,83.12000274658203,79.8499984741211,82.9000015258789,6863200.0,yahoo
2026-01-12,CRWV,78.75,91.94000244140624,77.80999755859375,89.93000030517578,43610500.0,yahoo
2026-01-12,GOOGL,325.8,334.04,325.0,331.86,33923928.0,polygon
2026-01-12,HOOD,114.51,119.62,114.455,117.52,17111701.0,polygon
2026-01-12,IWM,259.28,261.66,258.24,261.5,28423355.0,polygon
2026-01-12,META,652.525,653.97,641.225,641.97,14797197.0,polygon
2026-01-12,MSFT,476.67,480.99,475.6803,477.18,23519895.0,polygon
2026-01-12,MU,340.55,348.47,339.32,345.87,23152588.0,polygon
2026-01-12,NVDA,183.22,187.12,183.02,184.94,137968453.0,polygon
2026-01-12,PLTR,177.685,182.5,176.34,179.41,34954543.0,polygon
2026-01-12,QQQ,622.31,628.845,622.26,627.17,37388651.0,polygon
2026-01-12,SOXL,52.385,55.145,52.35,54.65,53193667.0,polygon
2026-01-12,SPY,690.68,696.09,690.63,695.16,63976002.0,polygon
2026-01-12,TSLA,441.225,454.3,438.0,448.96,61649627.0,polygon
2026-01-13,AAPL,258.72,261.81,258.39,261.05,45730847.0,polygon
2026-01-13,AMD,215.1,223.11,214.975,220.97,56894937.0,polygon
2026-01-13,AMZN,246.53,247.66,240.25,242.6,38371778.0,polygon
2026-01-13,AVGO,352.8800048828125,359.489990234375,350.9100036621094,354.6099853515625,18308000.0,yahoo
2026-01-13,COIN,245.5,255.51,244.65,252.69,9026984.0,polygon
2026-01-13,CRCL,83.23500061035156,84.27999877929688,80.29000091552734,83.45999908447266,8436100.0,yahoo
2026-01-13,CRWV,89.05000305175781,91.5,86.86000061035156,87.4800033569336,20414100.0,yahoo
2026-01-13,GOOGL,334.95,340.49,333.62,335.97,33517607.0,polygon
2026-01-13,HOOD,117.4,120.43,116.0,120.24,20026085.0,polygon
2026-01-13,IWM,262.405,262.885,260.46,261.35,33882364.0,polygon
2026-01-13,META,642.27,642.27,624.1,631.09,18030395.0,polygon
2026-01-13,MSFT,474.675,475.7799,465.95,470.67,28545800.0,polygon
2026-01-13,MU,346.27,351.23,335.22,338.13,23881339.0,polygon
